ID;Produto ascendente;Tipo;SKU;Publicado;Descrição curta;Em estoque?;Estoque;Quantidade baixa de estoque;São permitidas encomendas?;Vendido individualmente?;Peso (kg);Comprimento (cm);Largura (cm);Altura (cm);Permitir avaliações de clientes?;Preço;Categorias;Nome do atributo 1;Valores do atributo 1;Visibilidade do atributo 1;Atributo global 1;Nome do atributo 2;Valores do atributo 2;Visibilidade do atributo 2;Atributo global 2;Nome do atributo 3;Valores do atributo 3;Visibilidade do atributo 3;Atributo global 3
5225;10130;variation;10130-AT-PP;-1;;1;1;;0;0;;;;;0;489,99;;Cor;AZUL TURQUESA;;1;Tamanho;PP;;1;;;;
5233;10130;variation;10130-R-G;-1;;1;1;;0;0;;;;;0;489,99;;Cor;ROSA;;1;Tamanho;G;;1;;;;
5234;10130;variation;10130-R-GG;-1;;1;1;;0;0;;;;;0;489,99;;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5232;10130;variation;10130-R-M;-1;;1;1;;0;0;;;;;0;489,99;;Cor;ROSA;;1;Tamanho;M;;1;;;;
5231;10130;variation;10130-R-P;-1;;1;1;;0;0;;;;;0;489,99;;Cor;ROSA;;1;Tamanho;P;;1;;;;
5230;10130;variation;10130-R-PP;-1;;1;1;;0;0;;;;;0;489,99;;Cor;ROSA;;1;Tamanho;PP;;1;;;;
5398;10131;variation;10131-AM-G;-1;;1;1;;0;0;;;;;0;589,99;;Cor;AZUL MARINHO;;1;Tamanho;G;;1;;;;
5399;10131;variation;10131-AM-GG;-1;;1;1;;0;0;;;;;0;589,99;;Cor;AZUL MARINHO;;1;Tamanho;GG;;1;;;;
5397;10131;variation;10131-AM-M;-1;;1;1;;0;0;;;;;0;589,99;;Cor;AZUL MARINHO;;1;Tamanho;M;;1;;;;
5396;10131;variation;10131-AM-P;-1;;1;1;;0;0;;;;;0;589,99;;Cor;AZUL MARINHO;;1;Tamanho;P;;1;;;;
5395;10131;variation;10131-AM-PP;-1;;1;1;;0;0;;;;;0;589,99;;Cor;AZUL MARINHO;;1;Tamanho;PP;;1;;;;
5403;10131;variation;10131-R-G;-1;;1;1;;0;0;;;;;0;589,99;;Cor;ROSA;;1;Tamanho;G;;1;;;;
5404;10131;variation;10131-R-GG;-1;;1;1;;0;0;;;;;0;589,99;;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5402;10131;variation;10131-R-M;-1;;1;1;;0;0;;;;;0;589,99;;Cor;ROSA;;1;Tamanho;M;;1;;;;
5401;10131;variation;10131-R-P;-1;;1;1;;0;0;;;;;0;589,99;;Cor;ROSA;;1;Tamanho;P;;1;;;;
5400;10131;variation;10131-R-PP;-1;;1;1;;0;0;;;;;0;589,99;;Cor;ROSA;;1;Tamanho;PP;;1;;;;
5420;10135;variation;10135-L-G;-1;;1;1;;0;0;;;;;0;589,99;;Cor;LARANJA;;1;Tamanho;G;;1;;;;
5421;10135;variation;10135-L-GG;-1;;1;1;;0;0;;;;;0;589,99;;Cor;LARANJA;;1;Tamanho;GG;;1;;;;
5419;10135;variation;10135-L-M;-1;;1;1;;0;0;;;;;0;589,99;;Cor;LARANJA;;1;Tamanho;M;;1;;;;
5418;10135;variation;10135-L-P;-1;;1;1;;0;0;;;;;0;589,99;;Cor;LARANJA;;1;Tamanho;P;;1;;;;
5417;10135;variation;10135-L-PP;-1;;1;1;;0;0;;;;;0;589,99;;Cor;LARANJA;;1;Tamanho;PP;;1;;;;
5425;10135;variation;10135-R-G;-1;;1;1;;0;0;;;;;0;589,99;;Cor;ROSA;;1;Tamanho;G;;1;;;;
5426;10135;variation;10135-R-GG;-1;;1;1;;0;0;;;;;0;589,99;;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5424;10135;variation;10135-R-M;-1;;1;1;;0;0;;;;;0;589,99;;Cor;ROSA;;1;Tamanho;M;;1;;;;
5423;10135;variation;10135-R-P;-1;;1;1;;0;0;;;;;0;589,99;;Cor;ROSA;;1;Tamanho;P;;1;;;;
5422;10135;variation;10135-R-PP;-1;;1;1;;0;0;;;;;0;589,99;;Cor;ROSA;;1;Tamanho;PP;;1;;;;
5441;10143;variation;10143-R-G;-1;;1;1;;0;0;;;;;0;499,99;;Cor;ROSA;;1;Tamanho;G;;1;;;;
5442;10143;variation;10143-R-GG;-1;;1;1;;0;0;;;;;0;499,99;;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5440;10143;variation;10143-R-M;-1;;1;1;;0;0;;;;;0;499,99;;Cor;ROSA;;1;Tamanho;M;;1;;;;
5439;10143;variation;10143-R-P;-1;;1;1;;0;0;;;;;0;499,99;;Cor;ROSA;;1;Tamanho;P;;1;;;;
5438;10143;variation;10143-R-PP;-1;;1;1;;0;0;;;;;0;499,99;;Cor;ROSA;;1;Tamanho;PP;;1;;;;
5446;10143;variation;10143-V-G;-1;;1;1;;0;0;;;;;0;499,99;;Cor;VERDE;;1;Tamanho;G;;1;;;;
5447;10143;variation;10143-V-GG;-1;;1;1;;0;0;;;;;0;499,99;;Cor;VERDE;;1;Tamanho;GG;;1;;;;
5445;10143;variation;10143-V-M;-1;;1;1;;0;0;;;;;0;499,99;;Cor;VERDE;;1;Tamanho;M;;1;;;;
5444;10143;variation;10143-V-P;-1;;1;1;;0;0;;;;;0;499,99;;Cor;VERDE;;1;Tamanho;P;;1;;;;
5443;10143;variation;10143-V-PP;-1;;1;1;;0;0;;;;;0;499,99;;Cor;VERDE;;1;Tamanho;PP;;1;;;;
5462;10139;variation;10139-A-G;-1;;1;1;;0;0;;;;;0;349,99;;Cor;AZUL;;1;Tamanho;G;;1;;;;
5463;10139;variation;10139-A-GG;-1;;1;1;;0;0;;;;;0;349,99;;Cor;AZUL;;1;Tamanho;GG;;1;;;;
5461;10139;variation;10139-A-M;-1;;1;1;;0;0;;;;;0;349,99;;Cor;AZUL;;1;Tamanho;M;;1;;;;
5460;10139;variation;10139-A-P;-1;;1;1;;0;0;;;;;0;349,99;;Cor;AZUL;;1;Tamanho;P;;1;;;;
5459;10139;variation;10139-A-PP;-1;;1;1;;0;0;;;;;0;349,99;;Cor;AZUL;;1;Tamanho;PP;;1;;;;
5467;10139;variation;10139-R-G;-1;;1;1;;0;0;;;;;0;349,99;;Cor;ROSA;;1;Tamanho;G;;1;;;;
5468;10139;variation;10139-R-GG;-1;;1;1;;0;0;;;;;0;349,99;;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5466;10139;variation;10139-R-M;-1;;1;1;;0;0;;;;;0;349,99;;Cor;ROSA;;1;Tamanho;M;;1;;;;
5465;10139;variation;10139-R-P;-1;;1;1;;0;0;;;;;0;349,99;;Cor;ROSA;;1;Tamanho;P;;1;;;;
5464;10139;variation;10139-R-PP;-1;;1;1;;0;0;;;;;0;349,99;;Cor;ROSA;;1;Tamanho;PP;;1;;;;
