ID;Tipo;SKU;Nome;Publicado;Descrição curta;Em estoque?;Estoque;Quantidade baixa de estoque;São permitidas encomendas?;Vendido individualmente?;Peso (kg);Comprimento (cm);Largura (cm);Altura (cm);Permitir avaliações de clientes?;Preço;Categorias;Produto ascendente;Nome do atributo 1;Valores do atributo 1;Visibilidade do atributo 1;Atributo global 1;Nome do atributo 2;Valores do atributo 2;Visibilidade do atributo 2;Atributo global 2;Nome do atributo 3;Valores do atributo 3;Visibilidade do atributo 3;Atributo global 3
5338;variation;0115-R-P;Top Ana Laura - ROSA, P;-1;;1;1;;0;0;;;;;0;169,99;;115;Cor;ROSA;;1;Tamanho;P;;1;;;;
5337;variation;0115-R-PP;Top Ana Laura - ROSA, PP;-1;;1;1;;0;0;;;;;0;169,99;;115;Cor;ROSA;;1;Tamanho;PP;;1;;;;
5212;variable;10130;Vestido Natalia Curto;-1;Vestido curto de manga bufante com detalhe em renda aplicada na manga e na barra. acabamento da manga com elástico, fechamento trazeiro em zíper invisível, corpo forrado com o próprio tecido e forro até a coxa.;1;;;0;0;451;32;21;12;0;489,99;Vestido > Vestido Curto;;Cor;AZUL TURQUESA, ROSA;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido: 55% Viscose 45% Poliéster;1;0
5228;variation;10130-AT-G;Vestido Natalia Curto - AZUL TURQUESA, G;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;AZUL TURQUESA;;1;Tamanho;G;;1;;;;
5229;variation;10130-AT-GG;Vestido Natalia Curto - AZUL TURQUESA, GG;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;AZUL TURQUESA;;1;Tamanho;GG;;1;;;;
5227;variation;10130-AT-M;Vestido Natalia Curto - AZUL TURQUESA, M;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;AZUL TURQUESA;;1;Tamanho;M;;1;;;;
5226;variation;10130-AT-P;Vestido Natalia Curto - AZUL TURQUESA, P;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;AZUL TURQUESA;;1;Tamanho;P;;1;;;;
5225;variation;10130-AT-PP;Vestido Natalia Curto - AZUL TURQUESA, PP;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;AZUL TURQUESA;;1;Tamanho;PP;;1;;;;
5233;variation;10130-R-G;Vestido Natalia Curto - ROSA, G;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;ROSA;;1;Tamanho;G;;1;;;;
5234;variation;10130-R-GG;Vestido Natalia Curto - ROSA, GG;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5232;variation;10130-R-M;Vestido Natalia Curto - ROSA, M;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;ROSA;;1;Tamanho;M;;1;;;;
5231;variation;10130-R-P;Vestido Natalia Curto - ROSA, P;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;ROSA;;1;Tamanho;P;;1;;;;
5230;variation;10130-R-PP;Vestido Natalia Curto - ROSA, PP;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;ROSA;;1;Tamanho;PP;;1;;;;
5384;variable;10131;Vestido Natalia Mid;-1;Vestido mid de manga bufante com detalhe em renda aplicada na manga e na barra. acabamento da manga com elástico, fechamento trazeiro em zíper invisível, corpo forrado com o próprio tecido e forro até a coxa.;1;;;0;0;530;32;21;12;0;589,99;Vestido > Mid, Vestido;;Cor;AZUL MARINHO, ROSA;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido: 55% Viscose 45% Poliéster;1;0
5398;variation;10131-AM-G;Vestido Natalia Mid - AZUL MARINHO, G;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;AZUL MARINHO;;1;Tamanho;G;;1;;;;
5399;variation;10131-AM-GG;Vestido Natalia Mid - AZUL MARINHO, GG;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;AZUL MARINHO;;1;Tamanho;GG;;1;;;;
5397;variation;10131-AM-M;Vestido Natalia Mid - AZUL MARINHO, M;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;AZUL MARINHO;;1;Tamanho;M;;1;;;;
5396;variation;10131-AM-P;Vestido Natalia Mid - AZUL MARINHO, P;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;AZUL MARINHO;;1;Tamanho;P;;1;;;;
5395;variation;10131-AM-PP;Vestido Natalia Mid - AZUL MARINHO, PP;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;AZUL MARINHO;;1;Tamanho;PP;;1;;;;
5403;variation;10131-R-G;Vestido Natalia Mid - ROSA, G;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;ROSA;;1;Tamanho;G;;1;;;;
5404;variation;10131-R-GG;Vestido Natalia Mid - ROSA, GG;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5402;variation;10131-R-M;Vestido Natalia Mid - ROSA, M;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;ROSA;;1;Tamanho;M;;1;;;;
