cod_produto,cod_mae,cod_barras,nome_produto,categoria,subcategoria,cores,tamanho,qtde_estoque,preco-errado,preco-certo,tags,descricao_produto,imagem_produto,medidas,busto,cintura
36887,11015770,2000000008325,MVBL 183 BLUSA AMARRACAO FRENTE MANGA BABADOS,BLUSAS,,BRANCA,M,1,15999,159.99,RENDA FASHION MODA TREND  >> BLUSAS >> POLIÉSTER + ELASTANO,11015770 - MVBL 183 BLUSA AMARRACAO FRENTE MANGA BABADOS - Tam M Cor BRANCA,    ,M BUSTO 93 CM,  ,   
36888,11015770,2000000008332,MVBL 183 BLUSA AMARRACAO FRENTE MANGA BABADOS,BLUSAS,,BRANCA,G,1,15999,159.99,RENDA FASHION MODA TREND  >> BLUSAS >> POLIÉSTER + ELASTANO,11015770 - MVBL 183 BLUSA AMARRACAO FRENTE MANGA BABADOS - Tam G Cor BRANCA,    ,G BUSTO 97 CM,  ,   
36889,11015770,2000000008349,MVBL 183 BLUSA AMARRACAO FRENTE MANGA BABADOS,BLUSAS,,CORAL,G,1,15999,159.99,RENDA FASHION MODA TREND  >> BLUSAS >> POLIÉSTER + ELASTANO,11015770 - MVBL 183 BLUSA AMARRACAO FRENTE MANGA BABADOS - Tam G Cor CORAL,    ,G BUSTO 97 CM,  ,   
36890,11015770,2000000008356,MVBL 183 BLUSA AMARRACAO FRENTE MANGA BABADOS,BLUSAS,,CORAL,M,1,15999,159.99,RENDA FASHION MODA TREND  >> BLUSAS >> POLIÉSTER + ELASTANO,11015770 - MVBL 183 BLUSA AMARRACAO FRENTE MANGA BABADOS - Tam M Cor CORAL,    ,M BUSTO 93 CM,  ,   
36891,11015770,2000000008370,MVBL 183 BLUSA AMARRACAO FRENTE MANGA BABADOS,BLUSAS,,VERDE,P,1,15999,159.99,RENDA FASHION MODA TREND  >> BLUSAS >> POLIÉSTER + ELASTANO,11015770 - MVBL 183 BLUSA AMARRACAO FRENTE MANGA BABADOS - Tam P Cor VERDE,    ,P BUSTO 89CM  ,  ,   
36892,11015770,2000000008387,MVBL 183 BLUSA AMARRACAO FRENTE MANGA BABADOS,BLUSAS,,VERDE,M,1,15999,159.99,RENDA FASHION MODA TREND  >> BLUSAS >> POLIÉSTER + ELASTANO,11015770 - MVBL 183 BLUSA AMARRACAO FRENTE MANGA BABADOS - Tam M Cor VERDE,    ,M BUSTO 93 CM,  ,   
36893,11015770,2000000008394,MVBL 183 BLUSA AMARRACAO FRENTE MANGA BABADOS,BLUSAS,,VERDE,G,1,15999,159.99,RENDA FASHION MODA TREND  >> BLUSAS >> POLIÉSTER + ELASTANO,11015770 - MVBL 183 BLUSA AMARRACAO FRENTE MANGA BABADOS - Tam G Cor VERDE,    ,G BUSTO 97 CM,  ,   
36894,11015850,2000000008554,MVBL 189 BLUSA,BLUSAS,OMBRO A OMBRO,PRETO,M,1,13999,139.99,ALL WHITE FASHION MODA TREND  >> BLUSAS >> OMBRO A OMBRO >> VISCOSE+POLIAMIDA + ELASTANO,11015850 - MVBL 189 BLUSA - Tam M Cor PRETO,    ,M BUSTO 89 CM ,  ,   
36895,11015850,2000000008561,MVBL 189 BLUSA,BLUSAS,OMBRO A OMBRO,PRETO,G,1,13999,139.99,ALL WHITE FASHION MODA TREND  >> BLUSAS >> OMBRO A OMBRO >> VISCOSE+POLIAMIDA + ELASTANO,11015850 - MVBL 189 BLUSA - Tam G Cor PRETO,    ,G BUSTO 93 CM,  ,   
36896,11015850,2000000008578,MVBL 189 BLUSA,BLUSAS,OMBRO A OMBRO,FENDI,M,1,13999,139.99,ALL WHITE FASHION MODA TREND  >> BLUSAS >> OMBRO A OMBRO >> VISCOSE+POLIAMIDA + ELASTANO,11015850 - MVBL 189 BLUSA - Tam M Cor FENDI,    ,M BUSTO 89 CM ,  ,   
36897,11015971,2000000007496,MVCL 200 CALÇA PANTALONA LISTRADA,CALÇAS,PANTALONA,AZUL,36,2,21999,219.99,FASHION MODA TREND >> CALÇAS >> PANTALONA >> 100% VISCOSE ,11015971 - MVCL 200 CALÇA PANTALONA LISTRADA - Tam 036 Cor AZUL,    ,36 CINTURA 80CM QUADRIL 100CM COMP. 110CM,  ,   
